user_id,1,2,3,4,5,6,7,8,9,10,11,12
1,1,"0,58","-0,37","0,68","-0,7","0,58","0,69","-0,52","-0,41","0,72","-0,75","-0,73"
2,"0,58",1,"-0,45","0,47","-0,33","0,66","0,75","-0,51","-0,43","0,54","-0,43","-0,33"
3,"-0,37","-0,45",1,"-0,5","0,53","-0,46","-0,53","0,77","0,72","-0,54","0,51","0,55"
4,"0,68","0,47","-0,5",1,"-0,63","0,62","0,66","-0,7","-0,49","0,78","-0,66","-0,67"
5,"-0,7","-0,33","0,53","-0,63",1,"-0,34","-0,41","0,56","0,57","-0,66","0,88","0,87"
6,"0,58","0,66","-0,46","0,62","-0,34",1,"0,7","-0,54","-0,4","0,59","-0,29","-0,36"
7,"0,69","0,75","-0,53","0,66","-0,41","0,7",1,"-0,64","-0,45","0,56","-0,45","-0,47"
8,"-0,52","-0,51","0,77","-0,7","0,56","-0,54","-0,64",1,"0,72","-0,63","0,56","0,63"
9,"-0,41","-0,43","0,72","-0,49","0,57","-0,4","-0,45","0,72",1,"-0,46","0,58","0,56"
10,"0,72","0,54","-0,54","0,78","-0,66","0,59","0,56","-0,63","-0,46",1,"-0,73","-0,68"
11,"-0,75","-0,43","0,51","-0,66","0,88","-0,29","-0,45","0,56","0,58","-0,73",1,"0,85"
12,"-0,73","-0,33","0,55","-0,67","0,87","-0,36","-0,47","0,63","0,56","-0,68","0,85",1
